Date,Fighter,DraftKings,BetMGM,Caesars,BetRivers,FanDuel,BetWay,mean_odds,DraftKings_vig,BetMGM_vig,Caesars_vig,BetRivers_vig,FanDuel_vig,BetWay_vig,mean_odds_vig,DraftKings_stripped,BetMGM_stripped,Caesars_stripped,BetRivers_stripped,FanDuel_stripped,BetWay_stripped,mean_odds_stripped
2024-10-19,Anthony Hernandez,-162.0,-155.0,-145.0,-152.0,-148.0,-150.0,-152.0,0.042,0.0426,0.0423,0.0516,0.0393,0.0762,0.0486,0.5934,0.583,0.5678,0.5736,0.5742,0.5575,0.5752
2024-10-19,Michel Pereira,136.0,130.0,122.0,123.0,126.0,110.0,124.5,0.042,0.0426,0.0423,0.0516,0.0393,0.0762,0.0486,0.4066,0.417,0.4322,0.4264,0.4258,0.4425,0.4248
2024-10-19,Kyler Phillips,-625.0,-650.0,-650.0,-625.0,-590.0,-649.0,-631.5,0.0423,0.0406,0.0453,0.0473,0.0403,0.077,0.0482,0.8271,0.8329,0.8291,0.8232,0.822,0.8045,0.8236
2024-10-19,Rob Font,455.0,475.0,460.0,440.0,440.0,375.0,440.8333333333333,0.0423,0.0406,0.0453,0.0473,0.0403,0.077,0.0482,0.1729,0.1671,0.1709,0.1768,0.178,0.1955,0.1764
2024-10-19,Charles Johnson,-305.0,-300.0,-300.0,-275.0,-290.0,-300.0,-295.0,0.043,0.0357,0.0441,0.0559,0.0421,0.0577,0.0461,0.7221,0.7241,0.7183,0.6945,0.7136,0.7091,0.7139
2024-10-19,Sumudaerji Sumudaerji,245.0,250.0,240.0,210.0,235.0,225.0,234.16666666666666,0.043,0.0357,0.0441,0.0559,0.0421,0.0577,0.0461,0.2779,0.2759,0.2817,0.3055,0.2864,0.2909,0.2861
2024-10-19,Cameron Smotherman,425.0,425.0,460.0,430.0,440.0,400.0,430.0,0.0424,0.0476,0.0453,0.0438,0.0403,0.0569,0.046,0.1828,0.1818,0.1709,0.1808,0.178,0.1892,0.1804
2024-10-19,Jake Hadley,-575.0,-600.0,-650.0,-590.0,-590.0,-599.0,-600.6666666666666,0.0424,0.0476,0.0453,0.0438,0.0403,0.0569,0.046,0.8172,0.8182,0.8291,0.8192,0.822,0.8108,0.8196
2024-10-19,Daniel Pineda,142.0,140.0,143.0,125.0,126.0,120.0,132.66666666666666,0.0428,0.0393,0.0411,0.0553,0.0393,0.0545,0.0452,0.3962,0.4009,0.3953,0.4211,0.4258,0.431,0.4112
2024-10-19,Darren Elkins,-170.0,-165.0,-170.0,-157.0,-148.0,-150.0,-160.0,0.0428,0.0393,0.0411,0.0553,0.0393,0.0545,0.0452,0.6038,0.5991,0.6047,0.5789,0.5742,0.569,0.5888
2024-10-19,Asu Almabayev,-250.0,-225.0,-240.0,-240.0,-215.0,-225.0,-232.5,0.0422,0.0432,0.0392,0.0531,0.0396,0.0559,0.0454,0.6854,0.6636,0.6793,0.6703,0.6565,0.6556,0.6688
2024-10-19,Matheus Nicolau,205.0,185.0,200.0,188.0,180.0,175.0,188.83333333333334,0.0422,0.0432,0.0392,0.0531,0.0396,0.0559,0.0454,0.3146,0.3364,0.3207,0.3297,0.3435,0.3444,0.3312
2024-10-19,Brad Katona,170.0,185.0,185.0,180.0,184.0,175.0,179.83333333333334,0.0425,0.0432,0.0432,0.0541,0.0396,0.0559,0.0465,0.3553,0.3364,0.3364,0.3388,0.3387,0.3444,0.3415
2024-10-19,Jean Matsumoto,-205.0,-225.0,-225.0,-230.0,-220.0,-225.0,-221.66666666666666,0.0425,0.0432,0.0432,0.0541,0.0396,0.0559,0.0465,0.6447,0.6636,0.6636,0.6612,0.6613,0.6556,0.6585
2024-10-19,Brady Hiestand,,-150.0,,,,,-150.0,,0.0444,,,,,0.0444,,0.5745,,,,,0.5745
2024-10-19,Jake Hadley,,125.0,,,,,125.0,,0.0444,,,,,0.0444,,0.4255,,,,,0.4255
2024-10-19,Joselyne Edwards,-258.0,-250.0,-250.0,-265.0,-250.0,-250.0,-253.83333333333334,0.0433,0.0476,0.0422,0.0539,0.0422,0.0476,0.0462,0.6908,0.6818,0.6854,0.6889,0.6854,0.6818,0.6857
2024-10-19,Tamires Vidal,210.0,200.0,205.0,205.0,205.0,200.0,204.16666666666666,0.0433,0.0476,0.0422,0.0539,0.0422,0.0476,0.0462,0.3092,0.3182,0.3146,0.3111,0.3146,0.3182,0.3143
2024-10-19,Elise Reed,-230.0,-200.0,-230.0,-215.0,-200.0,-200.0,-212.5,0.0418,0.0441,0.0418,0.0529,0.0343,0.0469,0.0436,0.669,0.6385,0.669,0.6482,0.6446,0.6368,0.6516
2024-10-19,Jessica Penne,190.0,165.0,190.0,170.0,172.0,163.0,175.0,0.0418,0.0441,0.0418,0.0529,0.0343,0.0469,0.0436,0.331,0.3615,0.331,0.3518,0.3554,0.3632,0.3484
2024-10-19,Alice Ardelean,130.0,120.0,135.0,125.0,120.0,120.0,125.0,0.0426,0.0463,0.0409,0.0553,0.0413,0.0545,0.0468,0.417,0.4344,0.4088,0.4211,0.4365,0.431,0.4245
2024-10-19,Melissa Martinez,-155.0,-145.0,-160.0,-157.0,-142.0,-150.0,-151.5,0.0426,0.0463,0.0409,0.0553,0.0413,0.0545,0.0468,0.583,0.5656,0.5912,0.5789,0.5635,0.569,0.5755
2024-10-19,Austen Lane,330.0,300.0,340.0,275.0,315.0,260.0,303.3333333333333,0.0421,0.05,0.0421,0.0493,0.041,0.0556,0.0462,0.2232,0.2381,0.2181,0.2542,0.2315,0.2632,0.237
2024-10-19,Robelis Despaigne,-425.0,-400.0,-440.0,-360.0,-400.0,-350.0,-395.8333333333333,0.0421,0.05,0.0421,0.0493,0.041,0.0556,0.0462,0.7768,0.7619,0.7819,0.7458,0.7685,0.7368,0.763
2024-10-12,Brandon Royval,250.0,240.0,250.0,240.0,235.0,240.0,242.5,0.0418,0.0441,0.0476,0.0531,0.0421,0.0632,0.0489,0.2742,0.2817,0.2727,0.2793,0.2864,0.2766,0.2784
2024-10-12,Tatsuro Taira,-310.0,-300.0,-320.0,-315.0,-290.0,-333.0,-311.3333333333333,0.0418,0.0441,0.0476,0.0531,0.0421,0.0632,0.0489,0.7258,0.7183,0.7273,0.7207,0.7136,0.7234,0.7216
2024-10-12,Brad Tavares,195.0,180.0,200.0,180.0,188.0,163.0,184.33333333333334,0.0431,0.0494,0.0392,0.0541,0.0395,0.0725,0.0491,0.325,0.3403,0.3207,0.3388,0.334,0.3545,0.3352
2024-10-12,Jun Yong Park,-238.0,-225.0,-240.0,-230.0,-225.0,-225.0,-230.5,0.0431,0.0494,0.0392,0.0541,0.0395,0.0725,0.0491,0.675,0.6597,0.6793,0.6612,0.666,0.6455,0.6648
2024-10-12,Chidi Njokuani,-148.0,-145.0,-150.0,-162.0,-150.0,-175.0,-155.0,0.0432,0.0463,0.0444,0.0531,0.0587,0.0808,0.0549,0.5721,0.5656,0.5745,0.5871,0.5667,0.5888,0.5762
2024-10-12,Jared Gooden,124.0,120.0,125.0,130.0,118.0,125.0,123.66666666666667,0.0432,0.0463,0.0444,0.0531,0.0587,0.0808,0.0549,0.4279,0.4344,0.4255,0.4129,0.4333,0.4112,0.4238
