Date,Fighter,DraftKings,BetMGM,Caesars,BetRivers,FanDuel,BetWay,DraftKings_decimal,BetMGM_decimal,Caesars_decimal,BetRivers_decimal,FanDuel_decimal,BetWay_decimal,mean_odds,DraftKings_vig,DraftKings_novig,BetMGM_vig,BetMGM_novig,Caesars_vig,Caesars_novig,BetRivers_vig,BetRivers_novig,FanDuel_vig,FanDuel_novig,BetWay_vig,BetWay_novig,mean_odds_vig,mean_odds_novig
2024-05-18,Veronica Hardy,-118.0,-125.0,-120.0,-117.0,-118.0,-125.0,1.85,1.8,1.83,1.85,1.85,1.8,1.83,-0.1745,2.06,-0.2254,2.23,-0.1556,2.11,-0.1739,2.16,,,,,-0.1838,2.14
2021-06-12,Israel Adesanya,-235.0,-245.0,-275.0,-278.0,,,1.43,1.41,1.36,1.36,,,1.3900000000000001,-0.0074,1.52,0.0119,1.46,-0.0131,1.51,-0.0131,1.51,,,,,-0.0061,1.5
2021-06-12,Marvin Vettori,185.0,200.0,210.0,225.0,,,2.85,3.0,3.1,3.25,,,3.05,-0.0074,2.93,0.0119,3.19,-0.0131,2.96,-0.0131,2.96,,,,,-0.0061,3.01
2021-06-12,Brandon Moreno,150.0,194.0,155.0,170.0,,,2.5,2.94,2.55,2.7,,,2.6725,0.0476,1.47,0.0188,1.41,,,,,,,,,0.0293,1.44
2021-06-12,Deiveson Figueiredo,-195.0,-235.0,-200.0,-200.0,,,1.51,1.43,1.5,1.5,,,1.4849999999999999,0.0476,3.14,0.0188,3.46,,,,,,,,,0.0293,3.29
2021-06-12,Leon Edwards,-500.0,-490.0,-500.0,-500.0,,,1.2,1.2,1.2,1.2,,,1.2,0.2378,1.73,0.2782,1.7,,,,,,,,,0.2575,1.72
2021-06-12,Nate Diaz,355.0,380.0,350.0,380.0,,,4.55,4.8,4.5,4.8,,,4.6625,0.2378,2.36,0.2782,2.43,,,,,,,,,0.2575,2.4
2021-06-12,Belal Muhammad,-220.0,-198.0,-225.0,-250.0,,,1.45,1.51,1.44,1.4,,,1.4500000000000002,-0.0918,1.73,-0.11,1.69,,,,,,,,,-0.1012,1.71
2021-06-12,Demian Maia,170.0,166.0,175.0,200.0,,,2.7,2.66,2.75,3.0,,,2.7775,-0.0918,2.36,-0.11,2.45,,,,,,,,,-0.1012,2.4
2021-06-12,Jamahal Hill,-275.0,-250.0,-300.0,-278.0,,,1.36,1.4,1.33,1.36,,,1.3625,0.284,1.93,0.3132,1.93,,,,,,,,,0.2984,1.93
2021-06-12,Paul Craig,210.0,205.0,220.0,225.0,,,3.1,3.05,3.2,3.25,,,3.1500000000000004,0.284,2.08,0.3132,2.07,,,,,,,,,0.2984,2.08
2021-06-12,Brad Riddell,120.0,128.0,120.0,125.0,,,2.2,2.28,2.2,2.25,,,2.2325,-0.3547,1.48,-0.3833,1.48,,,,,,,,,-0.3693,1.48
2021-06-12,Drew Dober,-152.0,-152.0,-150.0,-152.0,,,1.66,1.66,1.67,1.66,,,1.6625,-0.3547,3.07,-0.3833,3.08,,,,,,,,,-0.3693,3.07
2021-06-12,Darren Stewart,120.0,126.0,120.0,125.0,,,2.2,2.26,2.2,2.25,,,2.2275,0.6671,1.97,0.6671,1.97,,,,,,,,,0.6671,1.97
2021-06-12,Eryk Anders,-150.0,-152.0,-150.0,-152.0,,,1.67,1.66,1.67,1.66,,,1.665,0.6671,2.03,0.6671,2.03,,,,,,,,,0.6671,2.03
2021-06-12,Joanne Calderwood,-148.0,-144.0,-138.0,-139.0,,,1.68,1.69,1.72,1.72,,,1.7025,-0.2226,3.37,-0.2515,3.37,,,,,,,,,-0.2373,3.37
2021-06-12,Lauren Murphy,117.0,122.0,110.0,110.0,,,2.17,2.22,2.1,2.1,,,2.1475,-0.2226,1.42,-0.2515,1.42,,,,,,,,,-0.2373,1.42
2021-06-12,Hakeem Dawodu,188.0,184.0,175.0,170.0,,,2.88,2.84,2.75,2.7,,,2.7924999999999995,0.0128,1.98,0.0263,1.95,,,,,,,,,0.0195,1.96
2021-06-12,Movsar Evloev,-240.0,-220.0,-225.0,-200.0,,,1.42,1.45,1.44,1.5,,,1.4525000000000001,0.0128,2.03,0.0263,2.05,,,,,,,,,0.0195,2.04
2021-06-12,Alexis Davis,187.0,198.0,175.0,200.0,,,2.87,2.98,2.75,3.0,,,2.9,0.1528,2.02,0.137,2.05,,,,,,,,,0.1448,2.03
2021-06-12,Pannie Kianzad,-240.0,-240.0,-225.0,-250.0,,,1.42,1.42,1.44,1.4,,,1.42,0.1528,1.98,0.137,1.96,,,,,,,,,0.1448,1.97
2021-06-12,Matt Frevola,-210.0,-182.0,-225.0,-222.0,,,1.48,1.55,1.44,1.45,,,1.4800000000000002,-0.2016,1.72,-0.1905,1.7,,,,,,,,,-0.1961,1.71
2021-06-12,Terrance McKinney,160.0,150.0,175.0,180.0,,,2.6,2.5,2.75,2.8,,,2.6624999999999996,-0.2016,2.4,-0.1905,2.43,,,,,,,,,-0.1961,2.41
2021-06-12,Chase Hooper,-108.0,-130.0,-118.0,-111.0,,,1.93,1.77,1.85,1.9,,,1.8625000000000003,0.3679,1.92,0.3354,1.87,,,,,,,,,0.3512,1.89
2021-06-12,Steven Peterson,-114.0,108.0,-110.0,-111.0,,,1.88,2.08,1.91,1.9,,,1.9425,0.3679,2.09,0.3354,2.15,,,,,,,,,0.3512,2.12
2021-06-12,Fares Ziam,-125.0,-112.0,-125.0,-125.0,,,1.8,1.89,1.8,1.8,,,1.8225,0.1846,3.08,0.2219,2.9,,,,,,,,,0.2024,2.99
2021-06-12,Luigi Vendramini,102.0,-104.0,100.0,100.0,,,2.02,1.96,2.0,2.0,,,1.995,0.1846,1.48,0.2219,1.53,,,,,,,,,0.2024,1.5
