#,Event,Date,Venue,Location,Attendance,url,fight_odds_url,fight_odds_url_2
709,UFC Fight Night: Hernandez vs. Pereira,2024-10-19,UFC Apex,"Las Vegas, Nevada, U.S.",—,https://en.wikipedia.org/wiki/UFC_Fight_Night:_Hernandez_vs._Pereira,https://www.bestfightodds.com/events/ufc-3513,
708,UFC Fight Night: Royval vs. Taira,2024-10-12,[21],,,https://en.wikipedia.org/wiki/UFC_Fight_Night:_Royval_vs._Taira,https://www.bestfightodds.com/events/ufc-fight-night-3501,https://www.bestfightodds.com/events/ufc-3500
707,UFC 307: Pereira vs. Rountree Jr.,2024-10-05,Delta Center,"Salt Lake City, Utah, U.S.","17,487",https://en.wikipedia.org/wiki/UFC_307,https://www.bestfightodds.com/events/ufc-307-3449,
706,UFC Fight Night: Moicano vs. Saint Denis,2024-09-28,Accor Arena,"Paris, France","15,449",https://en.wikipedia.org/wiki/UFC_Fight_Night:_Moicano_vs._Saint_Denis,https://www.bestfightodds.com/events/ufc-3427,
705,UFC 306: O'Malley vs. Dvalishvili,2024-09-14,Sphere,"Las Vegas, Nevada, U.S.","16,024",https://en.wikipedia.org/wiki/UFC_306,https://www.bestfightodds.com/events/ufc-306-3399,
704,UFC Fight Night: Burns vs. Brady,2024-09-07,UFC Apex,—,[25],https://en.wikipedia.org/wiki/UFC_Fight_Night:_Burns_vs._Brady,https://www.bestfightodds.com/events/ufc-3441,
703,UFC on ESPN: Cannonier vs. Borralho,2024-08-24,[26],,,https://en.wikipedia.org/wiki/UFC_on_ESPN:_Cannonier_vs._Borralho,https://www.bestfightodds.com/events/ufc-3350,
702,UFC 305: du Plessis vs. Adesanya,2024-08-18,RAC Arena,"Perth, Australia","14,152",https://en.wikipedia.org/wiki/UFC_305,https://www.bestfightodds.com/events/ufc-3407,
701,UFC on ESPN: Tybura vs. Spivac 2,2024-08-10,UFC Apex,"Las Vegas, Nevada, U.S.",—,https://en.wikipedia.org/wiki/UFC_on_ESPN:_Tybura_vs._Spivac_2,https://www.bestfightodds.com/events/ufc-3320,
700,UFC on ABC: Sandhagen vs. Nurmagomedov,2024-08-03,Etihad Arena,"Abu Dhabi, United Arab Emirates",[29],https://en.wikipedia.org/wiki/UFC_on_ABC:_Sandhagen_vs._Nurmagomedov,https://www.bestfightodds.com/events/ufc-fight-night-3372,
699,UFC 304: Edwards vs. Muhammad 2,2024-07-27,Co-op Live,"Manchester, England, UK","17,907",https://en.wikipedia.org/wiki/UFC_304,https://www.bestfightodds.com/events/ufc-3374,
