#,Event,Date,Venue,Location,Attendance,url
709,UFC Fight Night: Hernandez vs. Pereira,2024-10-19,UFC Apex,"Las Vegas, Nevada, U.S.",—,https://en.wikipedia.org/wiki/UFC_Fight_Night:_Hernandez_vs._Pereira
708,UFC Fight Night: Royval vs. Taira,2024-10-12,[21],,,https://en.wikipedia.org/wiki/UFC_Fight_Night:_Royval_vs._Taira
707,UFC 307: Pereira vs. Rountree Jr.,2024-10-05,Delta Center,"Salt Lake City, Utah, U.S.","17,487",https://en.wikipedia.org/wiki/UFC_307
706,UFC Fight Night: Moicano vs. Saint Denis,2024-09-28,Accor Arena,"Paris, France","15,449",https://en.wikipedia.org/wiki/UFC_Fight_Night:_Moicano_vs._Saint_Denis
705,UFC 306: O'Malley vs. Dvalishvili,2024-09-14,Sphere,"Las Vegas, Nevada, U.S.","16,024",https://en.wikipedia.org/wiki/UFC_306
704,UFC Fight Night: Burns vs. Brady,2024-09-07,UFC Apex,—,[25],https://en.wikipedia.org/wiki/UFC_Fight_Night:_Burns_vs._Brady
703,UFC on ESPN: Cannonier vs. Borralho,2024-08-24,[26],,,https://en.wikipedia.org/wiki/UFC_on_ESPN:_Cannonier_vs._Borralho
702,UFC 305: du Plessis vs. Adesanya,2024-08-18,RAC Arena,"Perth, Australia","14,152",https://en.wikipedia.org/wiki/UFC_305
701,UFC on ESPN: Tybura vs. Spivac 2,2024-08-10,UFC Apex,"Las Vegas, Nevada, U.S.",—,https://en.wikipedia.org/wiki/UFC_on_ESPN:_Tybura_vs._Spivac_2
700,UFC on ABC: Sandhagen vs. Nurmagomedov,2024-08-03,Etihad Arena,"Abu Dhabi, United Arab Emirates",[29],https://en.wikipedia.org/wiki/UFC_on_ABC:_Sandhagen_vs._Nurmagomedov
699,UFC 304: Edwards vs. Muhammad 2,2024-07-27,Co-op Live,"Manchester, England, UK","17,907",https://en.wikipedia.org/wiki/UFC_304
698,UFC on ESPN: Lemos vs. Jandiroba,2024-07-20,UFC Apex,"Las Vegas, Nevada, U.S.",—,https://en.wikipedia.org/wiki/UFC_on_ESPN:_Lemos_vs._Jandiroba
697,UFC on ESPN: Namajunas vs. Cortez,2024-07-13,Ball Arena,"Denver, Colorado, U.S.","16,884",https://en.wikipedia.org/wiki/UFC_on_ESPN:_Namajunas_vs._Cortez
696,UFC 303: Pereira vs. Procházka 2,2024-06-29,T-Mobile Arena,"Las Vegas, Nevada, U.S.","18,881",https://en.wikipedia.org/wiki/UFC_303
695,UFC on ABC: Whittaker vs. Aliskerov,2024-06-22,Kingdom Arena,"Riyadh, Saudi Arabia",—,https://en.wikipedia.org/wiki/UFC_on_ABC:_Whittaker_vs._Aliskerov
694,UFC on ESPN: Perez vs. Taira,2024-06-15,UFC Apex,"Las Vegas, Nevada, U.S.",[35],https://en.wikipedia.org/wiki/UFC_on_ESPN:_Perez_vs._Taira
693,UFC on ESPN: Cannonier vs. Imavov,2024-06-08,KFC Yum! Center,"Louisville, Kentucky, U.S.","19,578",https://en.wikipedia.org/wiki/UFC_on_ESPN:_Cannonier_vs._Imavov
692,UFC 302: Makhachev vs. Poirier,2024-06-01,Prudential Center,"Newark, New Jersey, U.S.","17,834",https://en.wikipedia.org/wiki/UFC_302
691,UFC Fight Night: Barboza vs. Murphy,2024-05-18,UFC Apex,"Las Vegas, Nevada, U.S.",—,https://en.wikipedia.org/wiki/UFC_Fight_Night:_Barboza_vs._Murphy
690,UFC on ESPN: Lewis vs. Nascimento,2024-05-11,Enterprise Center,"St. Louis, Missouri, U.S.","15,960",https://en.wikipedia.org/wiki/UFC_on_ESPN:_Lewis_vs._Nascimento
689,UFC 301: Pantoja vs. Erceg,2024-05-04,Farmasi Arena,"Rio de Janeiro, Brazil","14,514",https://en.wikipedia.org/wiki/UFC_301
688,UFC on ESPN: Nicolau vs. Perez,2024-04-27,UFC Apex,"Las Vegas, Nevada, U.S.",—,https://en.wikipedia.org/wiki/UFC_on_ESPN:_Nicolau_vs._Perez
687,UFC 300: Pereira vs. Hill,2024-04-13,T-Mobile Arena,"20,067",[42],https://en.wikipedia.org/wiki/UFC_300
686,UFC Fight Night: Allen vs. Curtis 2,2024-04-06,UFC Apex,—,[43],https://en.wikipedia.org/wiki/UFC_Fight_Night:_Allen_vs._Curtis_2
685,UFC on ESPN: Blanchfield vs. Fiorot,2024-03-30,Boardwalk Hall,"Atlantic City, New Jersey, U.S.","12,198",https://en.wikipedia.org/wiki/UFC_on_ESPN:_Blanchfield_vs._Fiorot
684,UFC on ESPN: Ribas vs. Namajunas,2024-03-23,UFC Apex,"Las Vegas, Nevada, U.S.",—,https://en.wikipedia.org/wiki/UFC_on_ESPN:_Ribas_vs._Namajunas
683,UFC Fight Night: Tuivasa vs. Tybura,2024-03-16,[46],,,https://en.wikipedia.org/wiki/UFC_Fight_Night:_Tuivasa_vs._Tybura
682,UFC 299: O'Malley vs. Vera 2,2024-03-09,Kaseya Center,"Miami, Florida, U.S.","19,165",https://en.wikipedia.org/wiki/UFC_299
681,UFC Fight Night: Rozenstruik vs. Gaziev,2024-03-02,UFC Apex,"Las Vegas, Nevada, U.S.",—,https://en.wikipedia.org/wiki/UFC_Fight_Night:_Rozenstruik_vs._Gaziev
680,UFC Fight Night: Moreno vs. Royval 2,2024-02-24,Arena CDMX,"Mexico City, Mexico","21,546",https://en.wikipedia.org/wiki/UFC_Fight_Night:_Moreno_vs._Royval_2
679,UFC 298: Volkanovski vs. Topuria,2024-02-17,Honda Center,"Anaheim, California, U.S.","18,186",https://en.wikipedia.org/wiki/UFC_298
678,UFC Fight Night: Hermansson vs. Pyfer,2024-02-10,UFC Apex,"Las Vegas, Nevada, U.S.",—,https://en.wikipedia.org/wiki/UFC_Fight_Night:_Hermansson_vs._Pyfer
677,UFC Fight Night: Dolidze vs. Imavov,2024-02-03,[52],,,https://en.wikipedia.org/wiki/UFC_Fight_Night:_Dolidze_vs._Imavov
676,UFC 297: Strickland vs. du Plessis,2024-01-20,Scotiabank Arena,"Toronto, Ontario, Canada","18,559",https://en.wikipedia.org/wiki/UFC_297
675,UFC Fight Night: Ankalaev vs. Walker 2,2024-01-13,UFC Apex,"Las Vegas, Nevada, U.S.",—,https://en.wikipedia.org/wiki/UFC_Fight_Night:_Ankalaev_vs._Walker_2
674,UFC 296: Edwards vs. Covington,2023-12-16,T-Mobile Arena,"19,039",[55],https://en.wikipedia.org/wiki/UFC_296
673,UFC Fight Night: Song vs. Gutiérrez,2023-12-09,UFC Apex,—,[56],https://en.wikipedia.org/wiki/UFC_Fight_Night:_Song_vs._Guti%C3%A9rrez
672,UFC on ESPN: Dariush vs. Tsarukyan,2023-12-02,Moody Center,"Austin, Texas, U.S.","14,485",https://en.wikipedia.org/wiki/UFC_on_ESPN:_Dariush_vs._Tsarukyan
671,UFC Fight Night: Allen vs. Craig,2023-11-18,UFC Apex,"Las Vegas, Nevada, U.S.",—,https://en.wikipedia.org/wiki/UFC_Fight_Night:_Allen_vs._Craig
670,UFC 295: Procházka vs. Pereira,2023-11-11,Madison Square Garden,"New York, New York, U.S.","19,039",https://en.wikipedia.org/wiki/UFC_295
669,UFC Fight Night: Almeida vs. Lewis,2023-11-04,Ginásio do Ibirapuera,"São Paulo, Brazil","10,792",https://en.wikipedia.org/wiki/UFC_Fight_Night:_Almeida_vs._Lewis
668,UFC 294: Makhachev vs. Volkanovski 2,2023-10-21,Etihad Arena,"Abu Dhabi, United Arab Emirates",—,https://en.wikipedia.org/wiki/UFC_294
667,UFC Fight Night: Yusuff vs. Barboza,2023-10-14,UFC Apex,"Las Vegas, Nevada, U.S.",[62],https://en.wikipedia.org/wiki/UFC_Fight_Night:_Yusuff_vs._Barboza
666,UFC Fight Night: Dawson vs. Green,2023-10-07,[63],,,https://en.wikipedia.org/wiki/UFC_Fight_Night:_Dawson_vs._Green
665,UFC Fight Night: Fiziev vs. Gamrot,2023-09-23,[64],,,https://en.wikipedia.org/wiki/UFC_Fight_Night:_Fiziev_vs._Gamrot
664,UFC Fight Night: Grasso vs. Shevchenko 2,2023-09-16,T-Mobile Arena,"18,766",[65],https://en.wikipedia.org/wiki/UFC_Fight_Night:_Grasso_vs._Shevchenko_2
663,UFC 293: Adesanya vs. Strickland,2023-09-10,Qudos Bank Arena,"Sydney, New South Wales, Australia","18,168",https://en.wikipedia.org/wiki/UFC_293
