Event Name,Event Link,Location,Date,Fight Link,Fighter_R,Fighter_B,Winner,Fighter_B_KD,Fighter_R_KD,Fighter_B_STR,Fighter_R_STR,Fighter_B_TD,Fighter_R_TD,Fighter_B_SUB,Fighter_R_SUB,Weight Class,Method,Round,Time
UFC Fight Night: Oezdemir vs. Smith,http://www.ufcstats.com/event-details/33a331684283900f,"Moncton, New Brunswick, Canada",2018-10-27,http://www.ufcstats.com/fight-details/53bb7c4a606d60c0,Stevie Ray,Jessin Ayari,Red,0,0,63,75,0,0,0,0,Lightweight,U-DEC,3,5:00
UFC Fight Night: Oezdemir vs. Smith,http://www.ufcstats.com/event-details/33a331684283900f,"Moncton, New Brunswick, Canada",2018-10-27,http://www.ufcstats.com/fight-details/96b59d89ecac66d0,Anthony Smith,Volkan Oezdemir,Red,0,0,77,63,1,1,0,2,Light Heavyweight,SUB,3,4:26
UFC Fight Night: Oezdemir vs. Smith,http://www.ufcstats.com/event-details/33a331684283900f,"Moncton, New Brunswick, Canada",2018-10-27,http://www.ufcstats.com/fight-details/e202f273220aa533,Michael Johnson,Artem Lobov,Red,0,0,67,99,0,1,0,0,Featherweight,U-DEC,3,5:00
UFC Fight Night: Oezdemir vs. Smith,http://www.ufcstats.com/event-details/33a331684283900f,"Moncton, New Brunswick, Canada",2018-10-27,http://www.ufcstats.com/fight-details/a9a770bac1261af9,Misha Cirkunov,Patrick Cummins,Red,0,0,3,11,0,1,0,2,Light Heavyweight,SUB,1,2:40
UFC Fight Night: Oezdemir vs. Smith,http://www.ufcstats.com/event-details/33a331684283900f,"Moncton, New Brunswick, Canada",2018-10-27,http://www.ufcstats.com/fight-details/e1eeb61d0669ce45,Andre Soukhamthath,Jonathan Martinez,Red,0,2,71,79,1,3,0,1,Bantamweight,U-DEC,3,5:00
UFC Fight Night: Oezdemir vs. Smith,http://www.ufcstats.com/event-details/33a331684283900f,"Moncton, New Brunswick, Canada",2018-10-27,http://www.ufcstats.com/fight-details/53d6e37063f9c404,Gian Villante,Ed Herman,Red,0,0,84,81,0,0,0,0,Light Heavyweight,S-DEC,3,5:00
UFC Fight Night: Oezdemir vs. Smith,http://www.ufcstats.com/event-details/33a331684283900f,"Moncton, New Brunswick, Canada",2018-10-27,http://www.ufcstats.com/fight-details/4f42acd810ed5173,Arjan Bhullar,Marcelo Golm,Red,0,0,43,47,0,1,0,0,Heavyweight,U-DEC,3,5:00
UFC Fight Night: Oezdemir vs. Smith,http://www.ufcstats.com/event-details/33a331684283900f,"Moncton, New Brunswick, Canada",2018-10-27,http://www.ufcstats.com/fight-details/6fd7f6f1deaef4e8,Sean Strickland,Nordine Taleb,Red,0,1,48,65,0,0,0,0,Welterweight,KO/TKO,2,3:10
UFC Fight Night: Oezdemir vs. Smith,http://www.ufcstats.com/event-details/33a331684283900f,"Moncton, New Brunswick, Canada",2018-10-27,http://www.ufcstats.com/fight-details/3d7ea6012fd8f786,Nasrat Haqparast,Thibault Gouti,Red,0,1,78,124,0,0,0,0,Lightweight,U-DEC,3,5:00
UFC Fight Night: Oezdemir vs. Smith,http://www.ufcstats.com/event-details/33a331684283900f,"Moncton, New Brunswick, Canada",2018-10-27,http://www.ufcstats.com/fight-details/bd0622b184ab4f28,Calvin Kattar,Chris Fishgold,Red,0,1,20,24,1,0,0,0,Featherweight,KO/TKO,1,4:11
UFC Fight Night: Oezdemir vs. Smith,http://www.ufcstats.com/event-details/33a331684283900f,"Moncton, New Brunswick, Canada",2018-10-27,http://www.ufcstats.com/fight-details/8dcfa933877e3a0b,Talita Bernardo,Sarah Moras,Red,0,0,37,60,1,2,0,1,Women's Bantamweight,U-DEC,3,5:00
UFC Fight Night: Oezdemir vs. Smith,http://www.ufcstats.com/event-details/33a331684283900f,"Moncton, New Brunswick, Canada",2018-10-27,http://www.ufcstats.com/fight-details/9d204f44a9988b93,Don Madge,Te Edwards,Red,0,2,5,21,1,0,0,1,Lightweight,KO/TKO,2,0:14
UFC Fight Night: Oezdemir vs. Smith,http://www.ufcstats.com/event-details/33a331684283900f,"Moncton, New Brunswick, Canada",2018-10-27,http://www.ufcstats.com/fight-details/8a08b8043f83d245,Court McGee,Alex Garcia,Red,0,1,27,51,1,2,0,0,Welterweight,U-DEC,3,5:00
UFC 230: Cormier vs. Lewis,http://www.ufcstats.com/event-details/20821819c401ced8,"New York City, New York, USA",2018-11-03,http://www.ufcstats.com/fight-details/e9700d51ec2b940b,Daniel Cormier,Derrick Lewis,Red,0,0,4,19,0,4,0,1,Heavyweight,SUB,2,2:14
UFC 230: Cormier vs. Lewis,http://www.ufcstats.com/event-details/20821819c401ced8,"New York City, New York, USA",2018-11-03,http://www.ufcstats.com/fight-details/c037cdc1de53de8e,Jacare Souza,Chris Weidman,Red,0,1,68,74,1,0,0,0,Middleweight,KO/TKO,3,2:46
UFC 230: Cormier vs. Lewis,http://www.ufcstats.com/event-details/20821819c401ced8,"New York City, New York, USA",2018-11-03,http://www.ufcstats.com/fight-details/b4ec3e067604f90a,Jared Cannonier,David Branch,Red,0,1,10,26,3,0,0,0,Middleweight,KO/TKO,2,0:39
UFC 230: Cormier vs. Lewis,http://www.ufcstats.com/event-details/20821819c401ced8,"New York City, New York, USA",2018-11-03,http://www.ufcstats.com/fight-details/7aede55e4e47c698,Karl Roberson,Jack Marshman,Red,0,0,21,34,0,2,0,0,Middleweight,U-DEC,3,5:00
UFC 230: Cormier vs. Lewis,http://www.ufcstats.com/event-details/20821819c401ced8,"New York City, New York, USA",2018-11-03,http://www.ufcstats.com/fight-details/e4e1d12441b90866,Israel Adesanya,Derek Brunson,Red,0,3,3,13,0,0,0,0,Middleweight,KO/TKO,1,4:51
UFC 230: Cormier vs. Lewis,http://www.ufcstats.com/event-details/20821819c401ced8,"New York City, New York, USA",2018-11-03,http://www.ufcstats.com/fight-details/78bb2b441917848c,Jordan Rinaldi,Jason Knight,Red,0,0,12,20,0,3,0,2,Featherweight,U-DEC,3,5:00
UFC 230: Cormier vs. Lewis,http://www.ufcstats.com/event-details/20821819c401ced8,"New York City, New York, USA",2018-11-03,http://www.ufcstats.com/fight-details/752f19e9c201ea57,Sijara Eubanks,Roxanne Modafferi,Red,0,1,28,57,1,3,0,0,Women's Flyweight,U-DEC,3,5:00
UFC 230: Cormier vs. Lewis,http://www.ufcstats.com/event-details/20821819c401ced8,"New York City, New York, USA",2018-11-03,http://www.ufcstats.com/fight-details/41be95916aef568f,Sheymon Moraes,Julio Arce,Red,0,2,25,32,1,0,2,0,Featherweight,S-DEC,3,5:00
