W/L,Fighter,KD,Total Strikes,Takedowns,Sub Attempts,Round,Time
"Arman Tsarukyan 


Mateusz Gamrot","0
    

      0","15 of 37
    

      10 of 19","40%
    

      52%","19 of 41
    

      11 of 20","1 of 3
    

      0 of 4","0
    

      0","0:46
    

      0:24"
"Arman Tsarukyan 


Mateusz Gamrot","0
    

      0","19 of 64
    

      18 of 38","29%
    

      47%","21 of 68
    

      21 of 41","0 of 2
    

      0 of 1","0
    

      0","0:00
    

      0:10"
"Arman Tsarukyan 


Mateusz Gamrot","0
    

      0","22 of 45
    

      20 of 33","48%
    

      60%","23 of 46
    

      30 of 43","0 of 2
    

      2 of 6","0
    

      0","0:00
    

      1:20"
"Arman Tsarukyan 


Mateusz Gamrot","1
    

      0","16 of 47
    

      13 of 23","34%
    

      56%","18 of 49
    

      18 of 29","0 of 0
    

      2 of 5","0
    

      0","0:24
    

      1:41"
"Arman Tsarukyan 


Mateusz Gamrot","0
    

      0","23 of 54
    

      20 of 25","42%
    

      80%","29 of 60
    

      28 of 33","0 of 1
    

      2 of 5","0
    

      0","0:29
    

      1:23"
"Neil Magny 


Shavkat Rakhmonov","0
    

      0","7 of 10
    

      12 of 20","70%
    

      60%","10 of 16
    

      27 of 38","0 of 0
    

      1 of 1","0
    

      0","0:00
    

      4:43"
"Neil Magny 


Shavkat Rakhmonov","0
    

      0","4 of 12
    

      7 of 16","33%
    

      43%","11 of 19
    

      29 of 41","0 of 0
    

      1 of 1","0
    

      0","0:07
    

      4:23"
"Josh Parisian 


Alan Baudot","0
    

      1","25 of 41
    

      38 of 60","60%
    

      63%","38 of 62
    

      45 of 67","1 of 2
    

      0 of 0","0
    

      0","0:48
    

      1:41"
"Josh Parisian 


Alan Baudot","0
    

      0","17 of 27
    

      11 of 15","62%
    

      73%","64 of 94
    

      11 of 15","2 of 2
    

      0 of 0","0
    

      0","2:21
    

      0:02"
"Thiago Moises 


Christos Giagos","0
    

      0","3 of 4
    

      2 of 5","75%
    

      40%","7 of 9
    

      13 of 16","1 of 2
    

      0 of 0","0
    

      0","2:34
    

      0:00"
"Nate Maness 


Umar Nurmagomedov","0
    

      0","1 of 10
    

      18 of 21","10%
    

      85%","17 of 28
    

      40 of 46","0 of 0
    

      1 of 1","0
    

      0","0:00
    

      3:29"
"Nate Maness 


Umar Nurmagomedov","0
    

      0","0 of 1
    

      21 of 31","0%
    

      67%","18 of 21
    

      32 of 43","0 of 0
    

      1 of 1","0
    

      0","0:00
    

      4:23"
